NAME,DP03_0062E,DP03_0062M,state_fips,county_fips,county,median_income,median_income_moe,median_income_low,median_income_high,state_county_income_rank
"Clinton County, Pennsylvania",60816.0,3611.0,42,035,Clinton County,60816.0,3611.0,57205.0,64427.0,55
"Northumberland County, Pennsylvania",60583.0,1488.0,42,097,Northumberland County,60583.0,1488.0,59095.0,62071.0,56
"Warren County, Pennsylvania",60480.0,1951.0,42,123,Warren County,60480.0,1951.0,58529.0,62431.0,57
"Crawford County, Pennsylvania",60476.0,2113.0,42,039,Crawford County,60476.0,2113.0,58363.0,62589.0,58
"Indiana County, Pennsylvania",60208.0,2473.0,42,063,Indiana County,60208.0,2473.0,57735.0,62681.0,59
"Bedford County, Pennsylvania",59992.0,3266.0,42,009,Bedford County,59992.0,3266.0,56726.0,63258.0,60
"Mercer County, Pennsylvania",59976.0,1687.0,42,085,Mercer County,59976.0,1687.0,58289.0,61663.0,61
"Potter County, Pennsylvania",59020.0,4562.0,42,105,Potter County,59020.0,4562.0,54458.0,63582.0,62
"Jefferson County, Pennsylvania",58686.0,2154.0,42,065,Jefferson County,58686.0,2154.0,56532.0,60840.0,63
"Cambria County, Pennsylvania",58418.0,1532.0,42,021,Cambria County,58418.0,1532.0,56886.0,59950.0,64
"Fayette County, Pennsylvania",58236.0,2045.0,42,051,Fayette County,58236.0,2045.0,56191.0,60281.0,65
"Forest County, Pennsylvania",52191.0,3237.0,42,053,Forest County,52191.0,3237.0,48954.0,55428.0,66
"Cameron County, Pennsylvania",50573.0,6455.0,42,023,Cameron County,50573.0,6455.0,44118.0,57028.0,67
