NAME,DP03_0061PE,DP03_0061PM,DP03_0062E,DP03_0062M,state_fips,county_fips,county_subdivision_fips,municipality_base,county,municipality_type,municipality,pct_200k_plus,pct_200k_plus_moe,median_income,median_income_moe,median_income_low,median_income_high,state_rank
"Ohio township, Allegheny County, Pennsylvania",37.1,7.2,153333.0,21047.0,42,003,56392,Ohio,Allegheny County,Township,Ohio,37.1,7.2,153333.0,21047.0,132286.0,174380.0,53
"Concord township, Delaware County, Pennsylvania",36.9,4.1,132303.0,15849.0,42,045,15488,Concord,Delaware County,Township,Concord,36.9,4.1,132303.0,15849.0,116454.0,148152.0,54
"West Bradford township, Chester County, Pennsylvania",36.6,4.9,160514.0,13776.0,42,029,82544,West Bradford,Chester County,Township,West Bradford,36.6,4.9,160514.0,13776.0,146738.0,174290.0,55
"Narberth borough, Montgomery County, Pennsylvania",36.3,7.6,123977.0,33307.0,42,091,52664,Narberth,Montgomery County,Borough,Narberth,36.3,7.6,123977.0,33307.0,90670.0,157284.0,56
"Northampton township, Bucks County, Pennsylvania",36.3,3.6,158583.0,3808.0,42,017,54688,Northampton,Bucks County,Township,Northampton,36.3,3.6,158583.0,3808.0,154775.0,162391.0,56
"Nether Providence township, Delaware County, Pennsylvania",36.0,4.7,150950.0,11520.0,42,045,53104,Nether Providence,Delaware County,Township,Nether Providence,36.0,4.7,150950.0,11520.0,139430.0,162470.0,58
"Whitemarsh township, Montgomery County, Pennsylvania",36.0,3.1,148970.0,12038.0,42,091,84624,Whitemarsh,Montgomery County,Township,Whitemarsh,36.0,3.1,148970.0,12038.0,136932.0,161008.0,58
"East Nantmeal township, Chester County, Pennsylvania",35.8,6.4,158958.0,21520.0,42,029,21576,East Nantmeal,Chester County,Township,East Nantmeal,35.8,6.4,158958.0,21520.0,137438.0,180478.0,60
"Kennett township, Chester County, Pennsylvania",35.8,5.8,150709.0,13912.0,42,029,39344,Kennett,Chester County,Township,Kennett,35.8,5.8,150709.0,13912.0,136797.0,164621.0,60
"Lower Salford township, Montgomery County, Pennsylvania",35.5,6.0,146481.0,30496.0,42,091,45096,Lower Salford,Montgomery County,Township,Lower Salford,35.5,6.0,146481.0,30496.0,115985.0,176977.0,62
"Waverly township, Lackawanna County, Pennsylvania",35.4,7.7,151442.0,9627.0,42,069,81668,Waverly,Lackawanna County,Township,Waverly,35.4,7.7,151442.0,9627.0,141815.0,161069.0,63
"East Bradford township, Chester County, Pennsylvania",35.1,4.8,155240.0,11277.0,42,029,20824,East Bradford,Chester County,Township,East Bradford,35.1,4.8,155240.0,11277.0,143963.0,166517.0,64
"Edgmont township, Delaware County, Pennsylvania",34.9,7.1,136964.0,20094.0,42,045,22584,Edgmont,Delaware County,Township,Edgmont,34.9,7.1,136964.0,20094.0,116870.0,157058.0,65
"Upper Providence township, Montgomery County, Pennsylvania",34.8,3.4,141077.0,8205.0,42,091,79256,Upper Providence,Montgomery County,Township,Upper Providence,34.8,3.4,141077.0,8205.0,132872.0,149282.0,66
"East Marlborough township, Chester County, Pennsylvania",34.6,5.4,155504.0,11835.0,42,029,21480,East Marlborough,Chester County,Township,East Marlborough,34.6,5.4,155504.0,11835.0,143669.0,167339.0,67
"Upper Saucon township, Lehigh County, Pennsylvania",34.6,4.4,145764.0,14100.0,42,077,79288,Upper Saucon,Lehigh County,Township,Upper Saucon,34.6,4.4,145764.0,14100.0,131664.0,159864.0,67
"Skippack township, Montgomery County, Pennsylvania",34.5,6.7,147979.0,13225.0,42,091,71016,Skippack,Montgomery County,Township,Skippack,34.5,6.7,147979.0,13225.0,134754.0,161204.0,69
"Warwick township, Bucks County, Pennsylvania",34.5,6.4,155351.0,14514.0,42,017,81144,Warwick,Bucks County,Township,Warwick,34.5,6.4,155351.0,14514.0,140837.0,169865.0,69
"South Coventry township, Chester County, Pennsylvania",34.4,8.0,158162.0,23572.0,42,029,72088,South Coventry,Chester County,Township,South Coventry,34.4,8.0,158162.0,23572.0,134590.0,181734.0,71
"Plumstead township, Bucks County, Pennsylvania",34.4,5.2,138259.0,10175.0,42,017,61616,Plumstead,Bucks County,Township,Plumstead,34.4,5.2,138259.0,10175.0,128084.0,148434.0,71
"Penn township, Chester County, Pennsylvania",34.4,6.3,136250.0,25131.0,42,029,58808,Penn,Chester County,Township,Penn,34.4,6.3,136250.0,25131.0,111119.0,161381.0,71
"Peters township, Washington County, Pennsylvania",33.6,4.5,145979.0,13937.0,42,125,59608,Peters,Washington County,Township,Peters,33.6,4.5,145979.0,13937.0,132042.0,159916.0,74
"East Whiteland township, Chester County, Pennsylvania",33.5,4.6,147460.0,19994.0,42,029,22056,East Whiteland,Chester County,Township,East Whiteland,33.5,4.6,147460.0,19994.0,127466.0,167454.0,75
"Franklin township, Chester County, Pennsylvania",32.9,8.6,144403.0,22131.0,42,029,27376,Franklin,Chester County,Township,Franklin,32.9,8.6,144403.0,22131.0,122272.0,166534.0,76
"Newtown township, Delaware County, Pennsylvania",32.3,4.2,121350.0,25626.0,42,045,54224,Newtown,Delaware County,Township,Newtown,32.3,4.2,121350.0,25626.0,95724.0,146976.0,77
"Bedminster township, Bucks County, Pennsylvania",32.2,10.1,152049.0,32447.0,42,017,04976,Bedminster,Bucks County,Township,Bedminster,32.2,10.1,152049.0,32447.0,119602.0,184496.0,78
"Trainer borough, Delaware County, Pennsylvania",32.2,26.4,81250.0,60055.0,42,045,77288,Trainer,Delaware County,Borough,Trainer,32.2,26.4,81250.0,60055.0,21195.0,141305.0,78
"Rosslyn Farms borough, Allegheny County, Pennsylvania",31.9,9.9,93750.0,63699.0,42,003,66320,Rosslyn Farms,Allegheny County,Borough,Rosslyn Farms,31.9,9.9,93750.0,63699.0,30051.0,157449.0,80
"Chalfont borough, Bucks County, Pennsylvania",31.5,7.9,124485.0,35112.0,42,017,12504,Chalfont,Bucks County,Borough,Chalfont,31.5,7.9,124485.0,35112.0,89373.0,159597.0,81
"New Britain township, Bucks County, Pennsylvania",31.3,4.3,144193.0,14466.0,42,017,53304,New Britain,Bucks County,Township,New Britain Township,31.3,4.3,144193.0,14466.0,129727.0,158659.0,82
"New Garden township, Chester County, Pennsylvania",31.2,5.0,120550.0,16204.0,42,029,53608,New Garden,Chester County,Township,New Garden,31.2,5.0,120550.0,16204.0,104346.0,136754.0,83
"West Conshohocken borough, Montgomery County, Pennsylvania",31.2,7.5,139375.0,27510.0,42,091,82736,West Conshohocken,Montgomery County,Borough,West Conshohocken,31.2,7.5,139375.0,27510.0,111865.0,166885.0,83
"Perkiomen township, Montgomery County, Pennsylvania",31.0,4.9,153750.0,19941.0,42,091,59392,Perkiomen,Montgomery County,Township,Perkiomen,31.0,4.9,153750.0,19941.0,133809.0,173691.0,85
"Adams township, Butler County, Pennsylvania",31.0,4.3,150173.0,9394.0,42,019,00300,Adams,Butler County,Township,Adams,31.0,4.3,150173.0,9394.0,140779.0,159567.0,85
"East Pikeland township, Chester County, Pennsylvania",30.9,5.6,146526.0,18435.0,42,029,21696,East Pikeland,Chester County,Township,East Pikeland,30.9,5.6,146526.0,18435.0,128091.0,164961.0,87
"Warrington township, Bucks County, Pennsylvania",30.8,3.2,133179.0,15342.0,42,017,81048,Warrington,Bucks County,Township,Warrington,30.8,3.2,133179.0,15342.0,117837.0,148521.0,88
"Lower Milford township, Lehigh County, Pennsylvania",30.6,7.8,123186.0,46523.0,42,077,44992,Lower Milford,Lehigh County,Township,Lower Milford,30.6,7.8,123186.0,46523.0,76663.0,169709.0,89
"Haverford township, Delaware County, Pennsylvania",30.4,2.4,131674.0,5768.0,42,045,33144,Haverford,Delaware County,Township,Haverford,30.4,2.4,131674.0,5768.0,125906.0,137442.0,90
"Montgomery township, Montgomery County, Pennsylvania",30.3,3.5,134074.0,13188.0,42,091,50640,Montgomery,Montgomery County,Township,Montgomery,30.3,3.5,134074.0,13188.0,120886.0,147262.0,91
"Elk township, Chester County, Pennsylvania",30.0,7.5,114856.0,16105.0,42,029,23032,Elk,Chester County,Township,Elk,30.0,7.5,114856.0,16105.0,98751.0,130961.0,92
"Bradford Woods borough, Allegheny County, Pennsylvania",29.8,6.6,153125.0,26284.0,42,003,08064,Bradford Woods,Allegheny County,Borough,Bradford Woods,29.8,6.6,153125.0,26284.0,126841.0,179409.0,93
"Uwchlan township, Chester County, Pennsylvania",29.7,4.4,134184.0,8217.0,42,029,79480,Uwchlan,Chester County,Township,Uwchlan,29.7,4.4,134184.0,8217.0,125967.0,142401.0,94
"Ivyland borough, Bucks County, Pennsylvania",29.5,11.2,149375.0,45848.0,42,017,37304,Ivyland,Bucks County,Borough,Ivyland,29.5,11.2,149375.0,45848.0,103527.0,195223.0,95
"Clara township, Potter County, Pennsylvania",29.0,22.1,85625.0,45925.0,42,105,13760,Clara,Potter County,Township,Clara,29.0,22.1,85625.0,45925.0,39700.0,131550.0,96
"Lower Providence township, Montgomery County, Pennsylvania",28.9,3.9,119165.0,5044.0,42,091,45080,Lower Providence,Montgomery County,Township,Lower Providence,28.9,3.9,119165.0,5044.0,114121.0,124209.0,97
"Lower Saucon township, Northampton County, Pennsylvania",28.8,4.3,124892.0,13187.0,42,095,45104,Lower Saucon,Northampton County,Township,Lower Saucon,28.8,4.3,124892.0,13187.0,111705.0,138079.0,98
"Springfield township, Delaware County, Pennsylvania",28.6,3.1,138205.0,7829.0,42,045,73032,Springfield,Delaware County,Township,Springfield,28.6,3.1,138205.0,7829.0,130376.0,146034.0,99
"West Goshen township, Chester County, Pennsylvania",28.6,3.2,132242.0,4804.0,42,029,83080,West Goshen,Chester County,Township,West Goshen,28.6,3.2,132242.0,4804.0,127438.0,137046.0,99
"Newtown township, Bucks County, Pennsylvania",28.6,3.7,147617.0,8277.0,42,017,54192,Newtown,Bucks County,Township,Newtown Township,28.6,3.7,147617.0,8277.0,139340.0,155894.0,99
"Malvern borough, Chester County, Pennsylvania",28.5,6.4,117548.0,24705.0,42,029,46792,Malvern,Chester County,Borough,Malvern,28.5,6.4,117548.0,24705.0,92843.0,142253.0,102
"Indiana township, Allegheny County, Pennsylvania",28.5,5.2,115375.0,23582.0,42,003,36808,Indiana,Allegheny County,Township,Indiana,28.5,5.2,115375.0,23582.0,91793.0,138957.0,102
"Westtown township, Chester County, Pennsylvania",28.3,5.1,138664.0,9144.0,42,029,84104,Westtown,Chester County,Township,Westtown,28.3,5.1,138664.0,9144.0,129520.0,147808.0,104
"Horsham township, Montgomery County, Pennsylvania",28.0,3.4,122311.0,8250.0,42,091,35808,Horsham,Montgomery County,Township,Horsham,28.0,3.4,122311.0,8250.0,114061.0,130561.0,105
"Springfield township, Montgomery County, Pennsylvania",28.0,3.3,135683.0,8760.0,42,091,73088,Springfield,Montgomery County,Township,Springfield,28.0,3.3,135683.0,8760.0,126923.0,144443.0,105
"Hilltown township, Bucks County, Pennsylvania",27.9,6.0,133690.0,18207.0,42,017,34952,Hilltown,Bucks County,Township,Hilltown,27.9,6.0,133690.0,18207.0,115483.0,151897.0,107
"Jefferson Hills borough, Allegheny County, Pennsylvania",27.8,5.5,116064.0,13668.0,42,003,37955,Jefferson Hills,Allegheny County,Borough,Jefferson Hills,27.8,5.5,116064.0,13668.0,102396.0,129732.0,108
"Collegeville borough, Montgomery County, Pennsylvania",27.8,6.2,91466.0,23523.0,42,091,15192,Collegeville,Montgomery County,Borough,Collegeville,27.8,6.2,91466.0,23523.0,67943.0,114989.0,108
"Langhorne borough, Bucks County, Pennsylvania",27.4,7.3,101131.0,8516.0,42,017,41392,Langhorne,Bucks County,Borough,Langhorne,27.4,7.3,101131.0,8516.0,92615.0,109647.0,110
"Upper Salford township, Montgomery County, Pennsylvania",27.4,6.2,138600.0,34453.0,42,091,79280,Upper Salford,Montgomery County,Township,Upper Salford,27.4,6.2,138600.0,34453.0,104147.0,173053.0,110
"West Whiteland township, Chester County, Pennsylvania",27.4,4.4,133460.0,7379.0,42,029,84192,West Whiteland,Chester County,Township,West Whiteland,27.4,4.4,133460.0,7379.0,126081.0,140839.0,110
"Lower Heidelberg township, Berks County, Pennsylvania",27.3,7.3,123476.0,23547.0,42,011,44928,Lower Heidelberg,Berks County,Township,Lower Heidelberg,27.3,7.3,123476.0,23547.0,99929.0,147023.0,113
"Hampton township, Allegheny County, Pennsylvania",27.2,3.8,134156.0,11258.0,42,003,32328,Hampton,Allegheny County,Township,Hampton,27.2,3.8,134156.0,11258.0,122898.0,145414.0,114
"Morris township, Huntingdon County, Pennsylvania",27.1,20.5,109464.0,23231.0,42,061,51080,Morris,Huntingdon County,Township,Morris,27.1,20.5,109464.0,23231.0,86233.0,132695.0,115
"Bear Creek Village borough, Luzerne County, Pennsylvania",27.1,18.1,160962.0,22304.0,42,079,04599,Bear Creek Village,Luzerne County,Borough,Bear Creek Village,27.1,18.1,160962.0,22304.0,138658.0,183266.0,115
"Fairview township, Erie County, Pennsylvania",26.8,4.9,112306.0,18043.0,42,049,24864,Fairview,Erie County,Township,Fairview,26.8,4.9,112306.0,18043.0,94263.0,130349.0,117
"Sewickley borough, Allegheny County, Pennsylvania",26.7,6.2,101053.0,7209.0,42,003,69376,Sewickley,Allegheny County,Borough,Sewickley,26.7,6.2,101053.0,7209.0,93844.0,108262.0,118
"Middletown township, Delaware County, Pennsylvania",26.7,3.6,129300.0,15833.0,42,045,49136,Middletown,Delaware County,Township,Middletown,26.7,3.6,129300.0,15833.0,113467.0,145133.0,118
"Langhorne Manor borough, Bucks County, Pennsylvania",26.7,8.9,137917.0,22373.0,42,017,41416,Langhorne Manor,Bucks County,Borough,Langhorne Manor,26.7,8.9,137917.0,22373.0,115544.0,160290.0,118
"Aspinwall borough, Allegheny County, Pennsylvania",26.6,9.1,107000.0,32054.0,42,003,03320,Aspinwall,Allegheny County,Borough,Aspinwall,26.6,9.1,107000.0,32054.0,74946.0,139054.0,121
"Mount Lebanon township, Allegheny County, Pennsylvania",26.6,2.6,123771.0,10195.0,42,003,51696,Mount Lebanon,Allegheny County,Township,Mount Lebanon,26.6,2.6,123771.0,10195.0,113576.0,133966.0,121
"Milford township, Bucks County, Pennsylvania",26.5,7.1,125093.0,23899.0,42,017,49384,Milford,Bucks County,Township,Milford,26.5,7.1,125093.0,23899.0,101194.0,148992.0,123
"Halfmoon township, Centre County, Pennsylvania",26.5,6.8,121050.0,25459.0,42,027,31992,Halfmoon,Centre County,Township,Halfmoon,26.5,6.8,121050.0,25459.0,95591.0,146509.0,123
"Marple township, Delaware County, Pennsylvania",26.5,3.4,123844.0,12486.0,42,045,47616,Marple,Delaware County,Township,Marple,26.5,3.4,123844.0,12486.0,111358.0,136330.0,123
"New Hanover township, Montgomery County, Pennsylvania",26.5,5.1,140913.0,12514.0,42,091,53664,New Hanover,Montgomery County,Township,New Hanover,26.5,5.1,140913.0,12514.0,128399.0,153427.0,123
"Greene township, Beaver County, Pennsylvania",26.4,10.2,103750.0,30406.0,42,007,30920,Greene,Beaver County,Township,Greene,26.4,10.2,103750.0,30406.0,73344.0,134156.0,127
"Richland township, Allegheny County, Pennsylvania",26.3,5.5,118333.0,28549.0,42,003,64528,Richland,Allegheny County,Township,Richland,26.3,5.5,118333.0,28549.0,89784.0,146882.0,128
"O'Hara township, Allegheny County, Pennsylvania",26.1,4.5,117276.0,13906.0,42,003,56384,O'Hara,Allegheny County,Township,O'Hara,26.1,4.5,117276.0,13906.0,103370.0,131182.0,129
"Rutledge borough, Delaware County, Pennsylvania",26.0,10.1,135313.0,25836.0,42,045,66928,Rutledge,Delaware County,Borough,Rutledge,26.0,10.1,135313.0,25836.0,109477.0,161149.0,130
"Lower Macungie township, Lehigh County, Pennsylvania",26.0,4.1,125230.0,11461.0,42,077,44952,Lower Macungie,Lehigh County,Township,Lower Macungie,26.0,4.1,125230.0,11461.0,113769.0,136691.0,130
"Durham township, Bucks County, Pennsylvania",26.0,9.2,116458.0,27127.0,42,017,20480,Durham,Bucks County,Township,Durham,26.0,9.2,116458.0,27127.0,89331.0,143585.0,130
"East Buffalo township, Union County, Pennsylvania",25.9,6.3,139708.0,17327.0,42,119,20888,East Buffalo,Union County,Township,East Buffalo,25.9,6.3,139708.0,17327.0,122381.0,157035.0,133
"Forward township, Butler County, Pennsylvania",25.7,14.4,107386.0,19824.0,42,019,26904,Forward,Butler County,Township,Forward,25.7,14.4,107386.0,19824.0,87562.0,127210.0,134
"Murrysville municipality, Westmoreland County, Pennsylvania",25.6,3.8,121823.0,6743.0,42,129,52432,Murrysville,Westmoreland County,Municipality,Murrysville,25.6,3.8,121823.0,6743.0,115080.0,128566.0,135
"East Caln township, Chester County, Pennsylvania",25.5,8.9,102288.0,11283.0,42,029,20920,East Caln,Chester County,Township,East Caln,25.5,8.9,102288.0,11283.0,91005.0,113571.0,136
"Jenkintown borough, Montgomery County, Pennsylvania",25.5,8.6,110703.0,36355.0,42,091,38000,Jenkintown,Montgomery County,Borough,Jenkintown,25.5,8.6,110703.0,36355.0,74348.0,147058.0,136
"Trappe borough, Montgomery County, Pennsylvania",25.1,7.7,127250.0,31038.0,42,091,77304,Trappe,Montgomery County,Borough,Trappe,25.1,7.7,127250.0,31038.0,96212.0,158288.0,138
